COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG CLE DU TRESOR;5e;4;10;14;4;10;14;15.21;17.19;6.93;7.74;0.0;0.0;0.0;25.0;0.0;7.1;0.0;30.0;21.4;25.0;10.0;14.3;0.0;40.0;28.6;25.0;10.0;14.3;25.0;0.0;7.1;0.0;10.0;7.1;;;;
CPEG CLE DU TRESOR;4e;4;5;9;4;5;9;16.89;16.83;12.35;10.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;33.3;75.0;0.0;33.3;0.0;20.0;11.1;25.0;20.0;22.2;;;;
CPEG CLE DU TRESOR;3e;6;9;15;6;9;15;12.57;15.63;8.63;6.72;0.0;0.0;0.0;0.0;33.3;20.0;33.3;0.0;13.3;0.0;0.0;0.0;50.0;33.3;40.0;16.7;22.2;20.0;0.0;11.1;6.7;0.0;0.0;0.0;;;;
CPEG CLE DU TRESOR;Cycle 1;16;32;48;16;32;48;16.89;18.14;6.93;6.72;0.0;0.0;0.0;6.3;9.4;8.3;12.5;9.4;10.4;12.5;3.1;6.3;18.8;31.3;27.1;37.5;15.6;22.9;6.3;18.8;14.6;6.3;12.5;10.4;;;;
CPEG COOPERATIVE;6e;19;7;26;19;7;26;17.28;16.65;7.05;8.28;0.0;0.0;0.0;5.3;0.0;3.8;15.8;14.3;15.4;15.8;0.0;11.5;26.3;57.1;34.6;21.1;0.0;15.4;10.5;14.3;11.5;5.3;14.3;7.7;;;;
CPEG COOPERATIVE;5e;19;11;30;19;10;29;14.38;16.65;8.45;9.62;0.0;0.0;0.0;0.0;0.0;0.0;5.3;0.0;3.4;10.5;10.0;10.3;42.1;60.0;48.3;31.6;20.0;27.6;10.5;0.0;6.9;0.0;10.0;3.4;;;;
CPEG COOPERATIVE;4e;10;6;16;8;5;13;13.58;12.21;8.75;6.41;0.0;20.0;7.7;0.0;0.0;0.0;25.0;60.0;38.5;12.5;0.0;7.7;50.0;0.0;30.8;12.5;20.0;15.4;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG COOPERATIVE;3e;15;10;25;15;9;24;14.1;13.47;7.4;6.43;0.0;22.2;8.3;6.7;0.0;4.2;20.0;11.1;16.7;6.7;0.0;4.2;53.3;55.6;54.2;6.7;11.1;8.3;6.7;0.0;4.2;0.0;0.0;0.0;;;;
CPEG COOPERATIVE;Cycle 1;63;34;97;61;31;92;17.28;16.65;7.05;6.41;0.0;9.7;3.3;3.3;0.0;2.2;14.8;16.1;15.2;11.5;3.2;8.7;41.0;48.4;43.5;19.7;12.9;17.4;8.2;3.2;6.5;1.6;6.5;3.3;;;;
CPEG COOPERATIVE;2nde A2;4;3;7;4;3;7;13.99;11.35;9.1;8.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;14.3;25.0;0.0;14.3;50.0;66.7;57.1;25.0;0.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG COOPERATIVE;Cycle 2;4;3;7;4;3;7;13.99;11.35;9.1;8.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;14.3;25.0;0.0;14.3;50.0;66.7;57.1;25.0;0.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
